Time;Robot;Node;Idleness;Interferences
1129.5;2;123;170.8;127
1130.9;3;42;48.2;127
1131.2;0;101;204.8;127
1132.4;1;106;40.2;128
1135.7;0;112;244.2;129
1136.1;2;102;9.5;130
1136.1;1;107;48.0;130
1137.1;4;42;6.2;130
1137.8;5;6;304.1;130
1138.1;3;52;111.0;130
1138.5;7;119;34.3;130
1140.5;1;118;69.0;130
1142.0;0;110;244.1;131
1143.0;2;83;581.4;131
1145.1;1;117;69.0;132
1147.4;4;43;24.8;132
1148.3;2;84;798.9;132
1148.8;6;52;10.7;132
1149.5;3;65;127.8;132
1151.1;7;118;10.6;132
1151.8;4;45;35.0;132
1153.0;2;99;818.2;132
1153.0;0;77;243.9;132
1154.5;6;51;121.3;132
1155.2;1;143;69.0;132
1155.5;7;107;19.4;132
1157.2;3;86;86.7;132
1157.4;4;43;10.0;132
1158.0;2;100;818.1;132
1159.1;6;47;560.6;132
1161.1;0;78;244.1;132
1162.1;3;87;96.3;132
1162.2;2;85;817.6;132
1163.4;7;108;83.5;132
1163.8;1;144;34.6;132
1166.1;3;75;128.1;132
1166.1;4;42;29.0;132
1167.1;2;84;18.8;132
1168.7;7;120;543.5;132
1169.1;6;46;600.1;132
1170.4;0;101;39.2;132
